# SOURCE:
# http://hanzidb.org/character-list/general-standard?page={}
# https://www.chinese-tools.com/tools/converter-simptrad.html
# 
# Id	Simp.	Trad.	Pinyin	Definition	Radical	Stroke count	HSK level	General Standard#	Frequency rank
1	一	一	yī	one; a, an; alone	一 1.0	1	1	0001	2
2	乙	乙	yǐ	second; 2nd heavenly stem	乙 5.0	1	5	0002	1872
3	二	二	èr	two; twice	二 7.0	2	1	0003	157
4	十	十	shí	ten, tenth; complete; perfect	十 24.0	2	1	0004	112
5	丁	丁	dīng	male adult; robust, vigorous; 4th heavenly stem	一 1.1	2	6	0005	1168
6	厂	廠	chǎng	factory, workshop; radical 27	厂 27.0	2	5	0006	963
7	七	七	qī	seven	一 1.1	2	1	0007	530
8	卜	卜	bo	fortune telling; prophesy	卜 25.0	2		0008	1979
9	八	八	bā	eight; all around, all sides	八 12.0	2	1	0009	451
10	人	人	rén	man; people; mankind; someone else	人 9.0	2	1	0010	7
11	入	入	rù	enter, come in(to), join	入 11.0	2	4	0011	210
12	儿	兒	ér	son, child; KangXi radical 10	儿 10.0	2	1	0012	192
13	匕	匕	bǐ	spoon, ladle; knife, dirk	匕 21.0	2		0013	3252
14	几	幾	jǐ	small table	几 16.0	2	1	0014	211
15	九	九	jiǔ	nine	乙 5.1	2	1	0015	445
16	刁	刁	diāo	tricky, sly, crafty, cunning	刀 18.0	2		0016	3635
17	了	了	le	to finish; particle of completed action	亅 6.1	2	1	0017	5
18	刀	刀	dāo	knife; old coin; measure	刀 18.0	2	4	0018	1067
19	力	力	lì	power, capability, influence	力 19.0	2	3	0019	106
20	乃	乃	nǎi	then; really, indeed; as it turned out, after all; namely	丿 4.1	2		0020	1165
21	又	又	yòu	and, also, again, in addition	又 29.0	2	3	0021	126
22	三	三	sān	three	一 1.2	3	1	0022	125
23	干	干	gàn	oppose, offend; invade; dried	干 51.0	3	3	0023	353
24	于	於	yú	in, on, at; go to; surname	二 7.1	3	3	0024	40
25	亏	虧	kuī	lose, fail; damage; deficient	二 7.1	3	5	0025	1738
26	工	工	gōng	labor, work; worker, laborer	工 48.0	3	1	0026	118
27	土	土	tǔ	soil, earth; items made of earth	土 32.0	3	5	0027	515
28	士	士	shì	scholar, gentleman; soldier	士 33.0	3	4	0028	372
29	才	才	cái	talent, ability; just, only	手 64.0	3	3	0029	235
30	下	下	xià	under, underneath, below; down; inferior; bring down	一 1.2	3	1	0030	42
