#Common	Kanji	Simpl.	Kun'yomi	On'yomi	Pinyin
亞	亜	亚		ア	yà
哀	哀	哀	あわ-れ、あわ-れむ	アイ	āi
挨	挨	挨		アイ	āi
愛	愛	爱		アイ	ài
曖	曖	暧		アイ	ài
惡	悪	恶	わる-い	アク、オ	è
握	握	握	にぎ-る	アク	wò
壓	圧	压		アツ	yā
宛	宛	宛	あ-てる		wǎn
嵐	嵐	岚	あらし		lán
安	安	安	やす-い	アン	ān
案	案	案		アン	àn
暗	暗	暗	くら-い	アン	àn
以	以	以		イ	yǐ
衣	衣	衣	ころも	イ	yī
位	位	位	くらい	イ	wèi
圍	囲	围	かこ-む、かこ-う	イ	wéi
醫	医	医		イ	yī
依	依	依		イ、（エ）	yī
委	委	委	ゆだ-ねる	イ	wěi
威	威	威		イ	wēi
畏	畏	畏	おそ-れる	イ	wèi
胃	胃	胃		イ	wèi
尉	尉	尉		イ	wèi
異	異	异	こと	イ	yì
移	移	移	うつ-る、うつ-す	イ	yí
萎	萎	萎	な-える	イ	wēi
偉	偉	伟	えら-い	イ	wěi
椅	椅	椅		イ	yǐ
意	意	意		イ	yì
違	違	违	ちが-う、ちが-える	イ	wéi
維	維	维		イ	wéi
慰	慰	慰	なぐさ-める、なぐさ-む	イ	wèi
遺	遺	遗		イ、（ユイ）	yí
緯	緯	纬		イ	wěi
域	域	域		イキ	yù
育	育	育	そだ-つ、そだ-てる、はぐく-む	イク	yù
一	一	一	ひと、ひと-つ	イチ、イツ	yī
壹	壱	壹		イチ	yī
芋	芋	芋	いも		yù
引	引	引	ひ-く、ひ-ける	イン	yǐn
印	印	印	しるし	イン	yìn
因	因	因	よ-る	イン	yīn
咽	咽	咽		イン	yàn
姻	姻	姻		イン	yīn
員	員	员		イン	yuán
院	院	院		イン	yuàn
陰	陰	阴	かげ、かげ-る	イン	yīn
飲	飲	饮	の-む	イン	yǐn
隱	隠	隐	かく-す、かく-れる	イン	yǐn
韻	韻	韵		イン	yùn
右	右	右	みぎ	ウ、ユウ	yòu
宇	宇	宇		ウ	yǔ
羽	羽	羽	は、はね	ウ	yǔ
雨	雨	雨	あめ、（あま）	ウ	yǔ
唄	唄	呗	（うた）		bei
畝	畝	亩	うね		mǔ
浦	浦	浦	うら		pǔ
運	運	运	はこ-ぶ	ウン	yùn
雲	雲	云	くも	ウン	yún
永	永	永	なが-い	エイ	yǒng
泳	泳	泳	およ-ぐ	エイ	yǒng
英	英	英		エイ	yīng
映	映	映	うつ-る、うつ-す、は-える	エイ	yìng
榮	栄	荣	さか-える、は-え、は-える	エイ	róng
營	営	营	いとな-む	エイ	yíng
詠	詠	咏	よ-む	エイ	yǒng
影	影	影	かげ	エイ	yǐng
易	易	易	やさ-しい	エキ、イ	yì
疫	疫	疫		エキ、（ヤク）	yì
益	益	益		エキ、（ヤク）	yì
液	液	液		エキ	yè
驛	駅	驿		エキ	yì
越	越	越	こ-す、こ-える	エツ	yuè
圓	円	圆	まる-い	エン	yuán
延	延	延	の-びる、の-べる、の-ばす	エン	yán
沿	沿	沿	そ-う	エン	yán
炎	炎	炎	ほのお	エン	yán
怨	怨	怨		エン、オン	yuàn
宴	宴	宴		エン	yàn
媛	媛	媛		エン	yuàn
援	援	援		エン	yuán
園	園	园	その	エン	yuán
煙	煙	烟	けむ-る、けむり、けむ-い	エン	yān
猿	猿	猿	さる	エン	yuán
遠	遠	远	とお-い	エン、（オン）	yuǎn
